,source_id,experiment_id,member_id,variable_id,file_name
0,HadGEM3-GC31-MM,piControl,r1i1p1f1,mlotst,pangeo_data/HadGEM3-GC31-MM_piControl_r1i1p1f1_mlotst.npy
1,AWI-CM-1-1-MR,abrupt-4xCO2,r1i1p1f1,rtmt,pangeo_data/AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_rtmt.npy
2,CAMS-CSM1-0,1pctCO2,r2i1p1f1,rsut,pangeo_data/CAMS-CSM1-0_1pctCO2_r2i1p1f1_rsut.npy
3,MRI-ESM2-0,abrupt-4xCO2,r13i1p1f1,rtmt,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r13i1p1f1_rtmt.npy
4,CNRM-CM6-1,abrupt-4xCO2,r3i1p1f2,ts,pangeo_data/CNRM-CM6-1_abrupt-4xCO2_r3i1p1f2_ts.npy
5,ACCESS-CM2,piControl,r1i1p1f1,mlotst,pangeo_data/ACCESS-CM2_piControl_r1i1p1f1_mlotst.npy
6,CNRM-CM6-1,abrupt-4xCO2,r4i1p1f2,ts,pangeo_data/CNRM-CM6-1_abrupt-4xCO2_r4i1p1f2_ts.npy
7,NESM3,abrupt-4xCO2,r1i1p1f1,rsut,pangeo_data/NESM3_abrupt-4xCO2_r1i1p1f1_rsut.npy
8,MPI-ESM1-2-HR,piControl,r1i1p1f1,ts,pangeo_data/MPI-ESM1-2-HR_piControl_r1i1p1f1_ts.npy
9,ACCESS-ESM1-5,1pctCO2,r1i1p1f1,tos,pangeo_data/ACCESS-ESM1-5_1pctCO2_r1i1p1f1_tos.npy
10,IPSL-CM6A-LR,abrupt-4xCO2,r4i1p1f1,tos,pangeo_data/IPSL-CM6A-LR_abrupt-4xCO2_r4i1p1f1_tos.npy
11,GISS-E2-1-G-CC,piControl,r1i1p1f1,mlotst,pangeo_data/GISS-E2-1-G-CC_piControl_r1i1p1f1_mlotst.npy
12,CESM2,piControl,r1i1p1f1,ts,pangeo_data/CESM2_piControl_r1i1p1f1_ts.npy
13,BCC-CSM2-MR,1pctCO2,r1i1p1f1,ts,pangeo_data/BCC-CSM2-MR_1pctCO2_r1i1p1f1_ts.npy
